audio,Transcription,Sentiment (Keras),Top 3 Emotions (Keras),Sentiment (LLM),Emotion (LLM),timestamp
.gradio/flagged/audio/a27b70f0ff30cac9903c/audio.wav,,,"{""label"": null, ""confidences"": null}",,,2025-05-23 15:49:06.760252
,,,"{""label"": null, ""confidences"": null}",,,2025-05-23 15:53:38.178574
.gradio/flagged/audio/29daa94b125650cbf3de/audio.wav,,,"{""label"": null, ""confidences"": null}",,,2025-05-23 15:55:36.402798
,,,"{""label"": null, ""confidences"": null}",,,2025-05-23 16:02:41.338848
